year,subject,count,mean,std,min,p05,p25,median,p75,p95,max
2016,DiaLy,430241,5.4324,1.4386,0.0,3.0,4.5,5.5,6.5,7.75,10.0
2016,HoaHoc,341947,5.3758,1.4486,0.0,3.0,4.4,5.4,6.4,7.8,10.0
2016,LichSu,126473,4.5005,1.944,0.0,1.5,3.0,4.5,6.0,7.75,10.0
2016,NgoaiNgu,659527,3.2274,1.4406,0.0,1.88,2.25,2.75,3.65,6.45,10.0
2016,NguVan,833775,4.9191,1.4118,0.0,2.5,4.0,5.0,6.0,7.25,9.5
2016,SinhHoc,152465,4.9087,1.5587,0.0,2.6,3.8,4.6,6.0,7.8,10.0
2016,Toan,851995,4.4378,1.93,0.0,1.5,3.0,4.25,6.0,7.5,10.0
2016,VatLy,363017,5.9551,1.459,0.0,3.4,5.0,6.2,7.0,8.2,10.0
2017,DiaLy,489905,6.2608,1.4712,0.0,3.75,5.25,6.25,7.25,8.5,10.0
2017,GDCD,426960,7.7922,1.0373,0.0,6.0,7.25,8.0,8.5,9.25,10.0
2017,HoaHoc,405930,5.3292,1.9346,0.0,2.5,3.75,5.25,6.75,8.75,10.0
2017,LichSu,504240,4.5967,1.5401,0.0,2.5,3.5,4.5,5.5,7.5,10.0
2017,NgoaiNgu,741219,4.4742,1.8401,0.2,2.2,3.2,4.0,5.4,8.4,10.0
2017,NguVan,823025,5.5129,1.3922,0.0,3.0,4.5,5.5,6.5,7.75,10.0
2017,SinhHoc,392230,4.7557,1.4776,0.0,2.75,3.75,4.5,5.5,7.75,10.0
2017,Toan,843214,5.1873,1.9504,0.0,2.4,3.6,5.0,6.75,8.6,10.0
2017,VatLy,403678,5.3509,1.7412,0.0,2.5,4.0,5.25,6.75,8.25,10.0
2018,DiaLy,549268,5.4631,1.2715,0.0,3.5,4.75,5.5,6.25,7.5,10.0
2018,GDCD,479345,7.1238,1.2513,0.0,5.0,6.5,7.25,8.0,9.0,10.0
2018,HoaHoc,389468,4.8722,1.5433,0.0,2.5,3.75,4.75,6.0,7.5,10.0
2018,LichSu,565683,3.7879,1.2436,0.0,2.0,3.0,3.5,4.5,6.0,10.0
2018,NgoaiNgu,816588,3.9079,1.5775,0.0,2.0,2.8,3.6,4.6,7.2,10.0
2018,NguVan,901410,5.4489,1.4744,0.0,3.0,4.5,5.5,6.5,7.75,9.75
2018,SinhHoc,383390,4.5433,1.2481,0.0,2.75,3.75,4.5,5.25,6.75,10.0
2018,Toan,917080,4.8531,1.469,0.0,2.4,3.8,5.0,6.0,7.2,10.0
2018,VatLy,386796,4.9691,1.5564,0.0,2.5,3.75,5.0,6.0,7.5,10.0
2019,DiaLy,562749,5.9962,1.2257,0.0,4.0,5.25,6.0,6.75,8.0,10.0
2019,GDCD,494153,7.3718,1.2644,0.0,5.0,6.5,7.5,8.25,9.25,10.0
2019,HoaHoc,338767,5.354,1.5681,0.0,2.75,4.25,5.5,6.5,7.75,10.0
2019,LichSu,570033,4.3017,1.4364,0.0,2.25,3.25,4.0,5.0,7.0,10.0
2019,NgoaiNgu,791935,4.3632,1.8113,0.0,2.2,3.0,4.0,5.4,8.2,10.0
2019,NguVan,868062,5.4838,1.3387,0.0,3.0,4.75,5.5,6.5,7.5,9.5
2019,SinhHoc,333854,4.6831,1.2403,0.0,2.75,3.75,4.5,5.5,7.0,10.0
2019,Toan,878189,5.635,1.7402,0.0,2.6,4.4,5.8,7.0,8.2,10.0
2019,VatLy,334982,5.568,1.5921,0.0,2.75,4.5,5.75,6.75,8.0,10.0
2020,DiaLy,561291,6.7718,1.1711,0.0,4.75,6.0,7.0,7.5,8.5,10.0
2020,GDCD,488658,8.1288,1.0895,0.0,6.0,7.5,8.25,9.0,9.5,10.0
2020,HoaHoc,299888,6.7044,1.6092,0.0,3.75,5.5,7.0,8.0,9.0,10.0
2020,LichSu,574978,5.1781,1.5988,0.0,2.75,4.0,5.0,6.25,8.25,10.0
2020,NgoaiNgu,781995,4.5798,1.8146,0.0,2.2,3.2,4.2,5.6,8.2,10.0
2020,NguVan,867186,6.6005,1.2482,0.0,4.25,6.0,6.75,7.5,8.5,10.0
2020,SinhHoc,294619,5.5871,1.3519,0.0,3.5,4.75,5.5,6.5,8.0,10.0
2020,Toan,877443,6.6676,1.8197,0.0,3.2,5.4,7.0,8.0,9.0,10.0
2020,VatLy,297649,6.7157,1.5005,0.0,3.75,5.75,7.0,7.75,8.75,10.0
2021,DiaLy,636555,6.9565,1.1768,0.0,5.0,6.25,7.0,7.75,8.75,10.0
2021,GDCD,538745,8.3755,1.1558,0.0,6.25,7.75,8.5,9.25,9.75,10.0
2021,HoaHoc,350993,6.6329,1.593,0.0,3.75,5.5,7.0,7.75,8.75,10.0
2021,LichSu,642454,4.9769,1.7704,0.0,2.5,3.5,4.75,6.25,8.25,10.0
2021,NgoaiNgu,879035,5.8511,2.2106,0.0,2.6,4.0,5.6,7.8,9.4,10.0
2021,NguVan,986390,6.4746,1.3637,0.0,4.0,5.75,6.5,7.5,8.5,10.0
2021,SinhHoc,345515,5.5196,1.4419,0.0,3.25,4.5,5.5,6.5,8.25,10.0
2021,Toan,989344,6.6176,1.6777,0.0,3.4,5.6,7.0,8.0,8.8,10.0
2021,VatLy,349344,6.5729,1.3934,0.0,4.0,5.75,6.75,7.75,8.5,10.0
2022,DiaLy,657421,6.6779,1.215,0.0,4.75,5.75,6.75,7.5,8.5,10.0
2022,GDCD,554343,8.0333,1.0673,0.0,6.0,7.5,8.25,8.75,9.5,10.0
2022,HoaHoc,327367,6.7039,1.6004,0.0,3.75,5.5,7.0,8.0,8.75,10.0
2022,LichSu,659662,6.3439,1.6129,0.0,3.5,5.25,6.5,7.5,8.75,10.0
2022,NgoaiNgu,870609,5.1577,1.9495,0.0,2.4,3.6,4.8,6.6,8.8,10.0
2022,NguVan,981407,6.5077,1.3796,0.0,4.0,5.58,6.5,7.5,8.5,10.0
2022,SinhHoc,322198,5.0191,1.4483,0.0,3.0,4.0,4.75,6.0,7.75,10.0
2022,Toan,982726,6.4663,1.6754,0.0,3.2,5.4,6.8,7.8,8.6,10.0
2022,VatLy,325523,6.7238,1.4419,0.0,4.0,5.75,7.0,7.75,8.75,10.0
2023,DiaLy,682134,6.1475,1.1687,0.0,4.25,5.5,6.25,7.0,8.0,10.0
2023,GDCD,565452,8.2858,1.1376,0.0,6.25,7.75,8.5,9.25,9.75,10.0
2023,HoaHoc,328118,6.7446,1.4285,0.0,4.0,5.75,7.0,7.75,8.75,10.0
2023,LichSu,683447,6.0256,1.5529,0.0,3.5,5.0,6.0,7.25,8.5,10.0
2023,NgoaiNgu,880997,5.4624,1.9664,0.0,2.6,4.0,5.2,7.0,9.0,10.0
2023,NguVan,1008239,6.8582,1.3265,0.0,4.5,6.0,7.0,7.75,8.75,10.0
2023,SinhHoc,324625,6.3949,1.2068,0.0,4.25,5.5,6.5,7.25,8.25,10.0
2023,Toan,1003373,6.2506,1.6333,0.0,3.2,5.2,6.6,7.6,8.4,10.0
2023,VatLy,327189,6.5739,1.4868,0.0,4.0,5.5,6.75,7.75,8.75,10.0
2024,DiaLy,704682,7.1935,1.2839,0.0,5.0,6.5,7.25,8.0,9.25,10.0
2024,GDCD,583609,8.1565,1.0426,0.0,6.25,7.5,8.25,9.0,9.5,10.0
2024,HoaHoc,346518,6.6808,1.6415,0.0,3.75,5.5,6.75,8.0,9.0,10.0
2024,LichSu,706214,6.5703,1.4628,0.0,4.0,5.5,6.5,7.5,9.0,10.0
2024,NgoaiNgu,912705,5.5219,1.8807,0.0,2.8,4.0,5.2,7.0,8.8,10.0
2024,NguVan,1050101,7.2311,1.3301,0.0,4.75,6.5,7.5,8.25,9.0,10.0
2024,SinhHoc,342378,6.2841,1.2448,0.0,4.25,5.5,6.25,7.25,8.25,10.0
2024,Toan,1045613,6.4473,1.5569,0.0,3.4,5.4,6.8,7.6,8.6,9.8
2024,VatLy,345615,6.6669,1.6311,0.0,3.5,5.5,7.0,8.0,8.75,10.0
2025,CongNgheCongNghiep,2290,5.7926,1.5395,2.3,3.6,4.55,5.6,7.0,8.5,10.0
2025,CongNgheNongNghiep,22048,7.7159,1.1705,1.55,5.6,7.0,7.75,8.5,9.25,10.0
2025,DiaLy,489581,6.6429,1.7501,0.0,3.7,5.35,6.75,8.0,9.5,10.0
2025,GDCD,4099,7.6978,1.5322,0.0,4.75,7.0,8.0,8.75,9.5,10.0
2025,HoaHoc,244283,6.0698,1.8122,0.0,3.25,4.75,6.0,7.5,9.25,10.0
2025,KinhTePhapLuat,246401,7.6914,1.1809,1.25,5.5,7.0,7.75,8.5,9.25,10.0
2025,LichSu,495165,6.5149,1.6443,0.0,3.75,5.25,6.5,7.75,9.0,10.0
2025,NgoaiNgu,362975,5.4063,1.4876,0.0,3.0,4.25,5.25,6.25,8.0,10.0
2025,NguVan,1144098,6.9905,1.291,0.0,4.5,6.25,7.25,8.0,8.75,9.75
2025,SinhHoc,71616,5.7806,1.594,0.0,3.25,4.6,5.75,7.0,8.5,10.0
2025,TinHoc,7602,6.7828,1.4826,1.35,4.25,5.75,6.75,7.85,9.25,10.0
2025,Toan,1137417,4.7997,1.6885,0.0,2.25,3.55,4.6,5.85,8.0,10.0
2025,VatLy,351733,6.9785,1.5216,0.0,4.35,5.85,7.0,8.25,9.25,10.0
2026,CongNgheCongNghiep,7209,6.5015,1.4556,2.35,4.45,5.35,6.25,7.5,9.25,10.0
2026,CongNgheNongNghiep,31079,6.9614,1.2654,1.2,4.7,6.25,7.0,7.75,8.75,10.0
2026,DiaLy,443885,5.1009,1.5795,0.0,2.6,3.85,5.0,6.25,7.75,10.0
2026,HoaHoc,250803,6.2844,1.6387,0.45,3.35,5.1,6.5,7.5,8.75,10.0
2026,KinhTePhapLuat,282519,5.023,1.3096,0.75,2.85,4.1,5.0,6.0,7.25,10.0
2026,LichSu,565056,6.1905,1.7011,0.0,3.5,4.85,6.1,7.5,9.0,10.0
2026,NgoaiNgu,344227,5.0926,1.6954,0.5,2.75,3.75,5.0,6.25,8.25,10.0
2026,NguVan,1197227,6.4972,1.3244,0.0,4.0,5.75,6.75,7.5,8.25,9.75
2026,SinhHoc,68923,5.837,1.6227,1.2,3.35,4.6,5.75,7.0,8.75,10.0
2026,TinHoc,18264,6.0728,1.5324,1.6,3.6,4.95,6.0,7.25,8.75,10.0
2026,Toan,1192437,5.6516,1.8933,0.45,2.7,4.25,5.5,7.25,8.75,10.0
2026,VatLy,385930,5.5587,1.7462,0.0,2.85,4.1,5.5,7.0,8.5,10.0
